"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jahmyr Gibbs","DET","RB1","274.4","1381.4","13.8","70.9","580.6","4.1","1.1","301.7"
"Bijan Robinson","ATL","RB2","289.6","1427.7","9.5","79.6","736.0","3.8","1.8","292.4"
"Jonathan Taylor","IND","RB3","327.7","1509.4","12.9","45.1","338.2","1.5","1.7","267.3"
"Christian McCaffrey","SF","RB4","269.4","1093.6","8.7","78.4","694.1","4.6","1.1","256.5"
"Derrick Henry","BAL","RB5","314.0","1569.0","13.4","17.8","172.2","0.7","1.7","255.3"
"James Cook III","BUF","RB6","287.3","1403.2","10.3","33.3","281.7","1.9","2.4","236.9"
"De'Von Achane","MIA","RB7","237.9","1197.2","6.0","65.3","490.9","4.0","1.0","226.7"
"Saquon Barkley","PHI","RB8","295.9","1310.7","8.2","42.0","330.4","2.1","1.0","224.1"
"Puka Nacua","LAR","WR1","13.6","85.0","1.4","117.0","1539.0","9.0","1.0","222.8"
"Josh Jacobs","GB","RB9","288.8","1161.6","12.0","35.7","283.9","1.2","1.3","221.3"
"Ashton Jeanty","LV","RB10","281.4","1107.5","8.0","58.7","414.2","3.3","1.1","218.2"
"Chase Brown","CIN","RB11","239.4","1040.5","7.8","64.1","427.9","3.9","1.1","215.1"
"Ja'Marr Chase","CIN","WR2","3.0","17.0","0.0","121.5","1512.1","10.6","1.0","214.6"
"Jaxon Smith-Njigba","SEA","WR3","5.5","30.4","0.1","110.9","1568.1","9.2","1.1","213.1"
"Omarion Hampton","LAC","RB12","249.1","1072.5","10.0","51.6","352.8","2.0","1.1","211.9"
"Kyren Williams","LAR","RB13","240.2","1119.1","10.1","33.5","239.6","2.2","1.5","206.4"
"Kenneth Walker III","KC","RB14","255.7","1158.8","8.3","45.1","346.8","1.2","0.9","206.1"
"Breece Hall","NYJ","RB15","259.3","1159.0","6.5","47.4","411.3","2.2","1.7","206.1"
"Amon-Ra St. Brown","DET","WR4","3.1","11.8","0.0","117.0","1391.1","10.5","0.4","202.6"
"Jeremiyah Love","ARI","RB16","238.3","1074.7","7.2","54.4","419.3","2.1","2.2","200.9"
"Javonte Williams","DAL","RB17","255.5","1157.1","10.4","33.0","191.8","1.2","1.6","200.9"
"Cam Skattebo","NYG","RB18","243.4","1016.0","8.1","45.8","364.3","2.5","1.6","198.7"
"D'Andre Swift","CHI","RB19","233.1","1053.1","8.1","34.8","299.9","1.0","1.0","187.9"
"Drake London","ATL","WR5","0.0","0.0","0.0","101.7","1328.2","9.4","1.0","187.5"
"Travis Etienne Jr.","NO","RB20","244.6","1036.7","5.4","44.9","351.5","3.0","1.0","187.1"
"Bucky Irving","TB","RB21","256.5","1021.2","6.1","39.9","336.8","2.3","1.0","184.0"
"Bhayshul Tuten","JAC","RB22","243.0","992.2","8.2","29.2","221.6","2.1","2.2","179.2"
"Quinshon Judkins","CLE","RB23","287.8","1094.1","7.7","30.9","214.6","0.6","0.9","179.1"
"CeeDee Lamb","DAL","WR6","2.4","12.5","0.0","97.3","1296.0","7.5","0.3","175.5"
"Rashee Rice","KC","WR7","5.4","25.5","0.9","98.8","1099.0","9.7","0.6","174.6"
"Justin Jefferson","MIN","WR8","1.3","5.5","0.0","98.6","1302.2","6.8","0.3","171.0"
"George Pickens","DAL","WR9","0.3","-0.3","0.0","82.7","1200.7","8.4","0.5","169.5"
"A.J. Brown","NE","WR10","0.0","0.0","0.0","88.7","1234.4","7.6","0.3","168.7"
"Nico Collins","HOU","WR11","1.4","8.3","0.4","82.5","1211.9","7.2","0.8","165.9"
"TreVeyon Henderson","NE","RB24","190.1","885.9","7.3","37.7","261.5","1.2","0.9","163.9"
"Jadarian Price","SEA","RB25","215.2","912.5","8.0","26.0","220.1","1.1","2.0","163.6"
